,,extensionName,extensionDescription,contextMenuItemLabel
en,English,Close Other Tabs,"Allows you to close other tabs with a toolbar button, an item on the right-click menu or by pressing Alt+Shift+W.",Close Other Tabs
ar,Arabic,إغلاق علامات التبويب الأخرى,يسمح لك علامات التبويب الأخرى وثيقة مع زر شريط أدوات، عنصر في القائمة النقر بزر الماوس الأيمن أو بالضغط على Alt + شيفت + W.,إغلاق علامات التبويب الأخرى
am,Amharic,ሌሎች ትሮችን ዝጋ,አንድ የመሣሪያ አሞሌ አዝራር በቀኝ-ጠቅ ምናሌ ላይ ወይም ን በመጫን Alt + Shift + ወ በ አንድ ንጥል ጋር ሌሎች ትሮችን ዝጋ ይፈቅድለታል.,ሌሎች ትሮችን ዝጋ
bg,Bulgarian,Затваряне на другите раздели,"Позволява ви да Затваряне на другите раздели с един бутон на лентата с инструменти, обект на десния бутон на мишката или чрез натискане на Alt + Shift + W.",Затваряне на другите раздели
bn,Bengali,অন্যান্য ট্যাব বন্ধ করুন,"আপনি যদি একটি টুলবার বোতাম, ডান-ক্লিক মেনু বা টিপে Alt + Shift + W দ্বারা একটি আইটেম সঙ্গে অন্যান্য ট্যাব বন্ধ করুন করতে অনুমতি দেয়।",অন্যান্য ট্যাব বন্ধ করুন
ca,Catalan,Tancar les altres pestanyes,"que permet tancar altres pestanyes amb un botó de barra d'eines, un element al menú de botó dret o prement Alt + Shift + W.",Tancar les altres pestanyes
cs,Czech,Zavřít ostatní karty,"Umožňuje blízké další karty s tlačítko panelu nástrojů, položky v menu pravého tlačítka myši nebo stisknutím Alt + Shift + W.",Zavřít ostatní karty
da,Danish,Luk andre faner,"Gør det muligt at lukke andre faner med en knap på værktøjslinjen, et element på højreklikmenuen eller ved at trykke på Alt + Shift + W.",Luk andre faner
de,German,Andere Tabs schließen,Damit können Sie schließen andere Registerkarten mit einer Schaltfläche in der Symbolleiste ein Element auf dem Rechtsklick-Menü oder durch Drücken von Alt + Shift + W.,Andere Tabs schließen
el,Greek,Κλείσιμο των άλλων καρτελών,"Σας επιτρέπει να Κλείσιμο των άλλων καρτελών με ένα κουμπί της γραμμής εργαλείων, ένα στοιχείο στο μενού του δεξιού κλικ ή πατώντας Alt + Shift + W.",Κλείσιμο των άλλων καρτελών
en_GB,English (Great Britain),Close Other Tabs,"Allows you to close other tabs with a toolbar button, an item on the right-click menu or by pressing Alt+Shift+W.",Close Other Tabs
en_US,English (USA),Close Other Tabs,"Allows you to close other tabs with a toolbar button, an item on the right-click menu or by pressing Alt+Shift+W.",Close Other Tabs
es,Spanish,Cerrar las otras pestañas,"que permite cerrar otras pestañas con un botón de barra de herramientas, un elemento en el menú del botón derecho o pulsando Alt + Shift + W.",Cerrar las otras pestañas
es_419,Spanish (Latin America and Caribbean),Cerrar las otras pestañas,"que permite cerrar otras pestañas con un botón de barra de herramientas, un elemento en el menú del botón derecho o pulsando Alt + Shift + W.",Cerrar las otras pestañas
et,Estonian,Sule muud vahelehed,"Võimaldab Sule muud vahelehed koos tööriistariba nuppu, mõni element paremklõpsake menüü või vajutada Alt + Shift + W.",Sule muud vahelehed
fa,Persian,بستن برگه های دیگر,شما اجازه می دهد تا به زبانه نزدیک دیگر با یک دکمه نوار ابزار، یک مورد در منوی راست کلیک یا با فشار دادن ALT + SHIFT + W.,بستن برگه های دیگر
fi,Finnish,Sulje muut välilehdet,"Voit Sulje muut välilehdet kanssa työkalurivin painiketta, kohde oikealla hiirennapilla tai painamalla Alt + Shift + W.",Sulje muut välilehdet
fil,Filipino,Isara ang Ibang Mga Tab,"Binibigyang-daan kang isara ang iba pang mga tab na may isang pindutan toolbar, ang isang item sa menu ng right-click o sa pamamagitan ng pagpindot Alt + Shift + W.",Isara ang Ibang Mga Tab
